rank,Entity,Code,Year,deficit
1,Nigeria,NGA,2024,87254810.0
2,Democratic Republic of Congo,COD,2024,84689100.0
3,Ethiopia,ETH,2024,57313940.0
4,Tanzania,TZA,2024,32634634.0
5,Uganda,UGA,2024,22356746.0
6,Mozambique,MOZ,2024,21852644.0
7,Niger,NER,2024,21274506.0
8,Madagascar,MDG,2024,18379850.0
9,Malawi,MWI,2024,18277062.0
10,Chad,TCD,2024,17579040.0
11,Sudan,SDN,2024,17152648.0
12,Angola,AGO,2024,16859202.0
13,Burkina Faso,BFA,2024,15542196.0
14,Kenya,KEN,2024,12979577.0
15,Mali,MLI,2024,12361690.0
