Year,world_reported,sum_of_countries,entities_reporting
1990,,119301128.032145,96
1991,,334799420.655129,107
1992,,408410086.909272,121
1993,,953443638.407389,130
1994,,988106417.054108,136
1995,,994682509.45503,143
1996,,1032067760.708155,152
1997,,1056575068.4422,158
1998,1606284900.0,1104305358.75536,164
1999,1549430100.0,1072049181.55906,170
2000,1341674900.0,1329068818.287288,210
2001,1328954900.0,1316480504.238,210
2002,1322102800.0,1309987866.779165,211
2003,1283891500.0,1272162600.744724,211
2004,1301346800.0,1289487456.150504,211
2005,1268753400.0,1257198101.468484,211
2006,1241555500.0,1230243531.8530161,211
2007,1215643800.0,1206737130.734286,213
2008,1183556200.0,1174958374.832644,213
2009,1184820700.0,1180551842.25584,214
2010,1158631400.0,1154496866.613485,214
2011,1097810300.0,1093933345.968536,214
2012,1080838900.0,1077055000.286405,214
2013,1037958100.0,1034355722.484033,214
2014,1014894800.0,1011409014.7962921,214
2015,972745660.0,969437977.23544,214
2016,895249100.0,892235632.92737,214
2017,842411260.0,839601630.593525,214
2018,784917600.0,782324929.996421,214
2019,769242000.0,766726617.0849919,214
2020,754006660.0,751565667.50147,214
2021,685952100.0,683758919.305552,214
2022,696459700.0,694280147.808867,214
2023,677005200.0,674897468.3527,214
2024,657256770.0,655233852.8044,214
