Entity,Code,Year,deficit
Nigeria,NGA,2024,87254810.0
Democratic Republic of Congo,COD,2024,84689100.0
Ethiopia,ETH,2024,57313940.0
Tanzania,TZA,2024,32634634.0
Uganda,UGA,2024,22356746.0
Mozambique,MOZ,2024,21852644.0
Niger,NER,2024,21274506.0
Madagascar,MDG,2024,18379850.0
Malawi,MWI,2024,18277062.0
Chad,TCD,2024,17579040.0
Sudan,SDN,2024,17152648.0
Angola,AGO,2024,16859202.0
Burkina Faso,BFA,2024,15542196.0
Kenya,KEN,2024,12979577.0
Mali,MLI,2024,12361690.0
South Sudan,SSD,2024,11298464.0
Burundi,BDI,2024,11224181.0
Pakistan,PAK,2024,10804582.0
Myanmar,MMR,2024,10682017.0
North Korea,PRK,2024,10228545.0
Zambia,ZMB,2024,9890140.0
Somalia,SOM,2024,8668172.0
Cote d'Ivoire,CIV,2024,8654176.0
Cameroon,CMR,2024,8154648.5
Guinea,GIN,2024,6816711.0
Zimbabwe,ZWE,2024,6321061.5
South Africa,ZAF,2024,6272706.0
Philippines,PHL,2024,6023867.5
Papua New Guinea,PNG,2024,5996877.0
Benin,BEN,2024,5929717.0
Yemen,YEM,2024,5559892.0
Haiti,HTI,2024,5427148.5
Sierra Leone,SLE,2024,5254349.0
Afghanistan,AFG,2024,5202993.0
Central African Republic,CAF,2024,4360504.5
Rwanda,RWA,2024,3991838.8
Liberia,LBR,2024,3653943.8
Togo,TGO,2024,3270151.2
Senegal,SEN,2024,3163839.0
Congo,COG,2024,2976491.8
Ghana,GHA,2024,2788620.0
Syria,SYR,2024,2639984.5
Mauritania,MRT,2024,2470970.8
Guatemala,GTM,2024,1674978.4
Libya,LBY,2024,1668111.0
Eritrea,ERI,2024,1580414.5
India,IND,2024,1450913.8
Guinea-Bissau,GNB,2024,1239361.1
Namibia,NAM,2024,1233263.4
Peru,PER,2024,1197624.6
Lesotho,LSO,2024,920944.7
Bangladesh,BGD,2024,867811.8
Gambia,GMB,2024,855596.3
