Year,East Asia and Pacific (WB),Europe and Central Asia (WB),Latin America and Caribbean (WB),"Middle East, North Africa, Afghanistan and Pakistan (WB)",North America (WB),South Asia (WB),Sub-Saharan Africa (WB)
1990,,0.0,,,0.0,,
1991,,0.0,,,0.0,,
1992,,0.0,51511050.0,,0.0,,
1993,,0.0,49587656.0,,0.0,576711600.0,
1994,,0.0,46192080.0,,0.0,592698600.0,
1995,,19279.053,54766896.0,,0.0,587995460.0,
1996,,253187.34,50996536.0,,0.0,587135200.0,437695260.0
1997,,305401.56,49556104.0,,0.0,580853700.0,450282980.0
1998,,286846.03,47221880.0,,0.0,569130200.0,461086660.0
1999,,1129180.4,44824804.0,,0.0,534060640.0,463058560.0
2000,162744700.0,7656034.5,42994850.0,86252830.0,0.0,534879500.0,505774460.0
2001,154245070.0,7231264.0,40451364.0,84687340.0,0.0,524870720.0,516271140.0
2002,146763200.0,6911659.0,39270700.0,84939110.0,0.0,520527000.0,521900960.0
2003,143766750.0,6850757.0,39331916.0,81753784.0,0.0,491202980.0,519520130.0
2004,128050300.0,6644006.0,37190010.0,81569384.0,0.0,510699360.0,535524000.0
2005,137143120.0,6304939.0,35956600.0,78103580.0,0.0,459912580.0,550515800.0
2006,115123030.0,6135215.5,32248280.0,70344930.0,0.0,465888860.0,550941950.0
2007,115838584.0,5609051.0,31392324.0,74999940.0,0.0,426003200.0,555450240.0
2008,104564696.0,5233758.5,27462912.0,71170030.0,0.0,396811000.0,572016640.0
2009,110324040.0,4739017.5,26588864.0,68923576.0,0.0,385041120.0,586104770.0
2010,98620536.0,2980867.0,24224880.0,58978692.0,0.0,374584930.0,596145860.0
2011,88810456.0,3001384.8,22669730.0,58945348.0,0.0,332278370.0,589159200.0
2012,85257190.0,1540268.8,20599000.0,53214880.0,0.0,320157440.0,597173200.0
2013,79899624.0,1354198.5,19021432.0,45734820.0,0.0,287606560.0,601566460.0
2014,76811144.0,1119178.6,18054398.0,40624508.0,0.0,260682480.0,614907900.0
2015,70174420.0,7552635.5,16803956.0,45569000.0,0.0,207041070.0,623029060.0
2016,68715360.0,1558915.8,15753475.0,34228652.0,0.0,181661150.0,591019840.0
2017,53867444.0,328055.2,14432709.0,28746570.0,0.0,135262290.0,607510100.0
2018,54910630.0,268436.53,14262322.0,36732200.0,0.0,82331470.0,594373000.0
2019,50414280.0,429129.75,12830691.0,29643926.0,0.0,72726904.0,601187600.0
2020,52183948.0,221415.8,11959288.0,28273498.0,0.0,58336604.0,601111740.0
2021,43858824.0,109171.6,11195251.0,27504856.0,0.0,10310328.0,591215300.0
2022,42453016.0,20943.254,9281448.0,32359594.0,0.0,15004995.0,595574700.0
2023,38044604.0,0.0,10373144.0,28540246.0,0.0,9829333.0,588483700.0
2024,34396776.0,10626.605,12939678.0,26235518.0,0.0,2941361.0,579047800.0
